KO	FunkFam	CS	Pathway	Description	KODescription	KOCount	FunkFamCount
K07235	5_102037	Low	map04122	Sulfur relay system	tusD, dsrE; tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]	3982	295
K11522	5_107243	Low	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	198
K14029	5_110180	High	map00010	Glycolysis / Gluconeogenesis	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	251
K14029	5_110180	High	map00625	Chloroalkane and chloroalkene degradation	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	251
K14029	5_110180	High	map00680	Methane metabolism	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	251
K14029	5_110180	High	map01100	Metabolic pathways	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	251
K14029	5_110180	High	map01110	Biosynthesis of secondary metabolites	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	251
K14029	5_110180	High	map01120	Microbial metabolism in diverse environments	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	251
K14029	5_110180	High	map01130	Biosynthesis of antibiotics	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	251
K14029	5_110180	High	map01200	Carbon metabolism	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	251
K16255	5_110180	High	map00680	Methane metabolism	mxaG; cytochrome c-L	278	251
K16255	5_110180	High	map01120	Microbial metabolism in diverse environments	mxaG; cytochrome c-L	278	251
K16256	5_110180	High	map00680	Methane metabolism	mxaA; mxaA protein	375	251
K16256	5_110180	High	map01120	Microbial metabolism in diverse environments	mxaA; mxaA protein	375	251
K16257	5_110180	High	map00680	Methane metabolism	mxaC; mxaC protein	390	251
K16257	5_110180	High	map01120	Microbial metabolism in diverse environments	mxaC; mxaC protein	390	251
K16258	5_110180	High	map00680	Methane metabolism	mxaK; mxaK protein	374	251
K16258	5_110180	High	map01120	Microbial metabolism in diverse environments	mxaK; mxaK protein	374	251
K16259	5_110180	High	map00680	Methane metabolism	mxaL; mxaL protein	390	251
K16259	5_110180	High	map01120	Microbial metabolism in diverse environments	mxaL; mxaL protein	390	251
K02720	5_111269	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	93
K10953	5_112716	High	map05110	Vibrio cholerae infection	rtxA; RTX toxin RtxA	86	94
K06989	5_11443	Low	map00760	Nicotinate and nicotinamide metabolism	nadX, ASPDH; aspartate dehydrogenase [EC:1.4.1.21]	2287	762
K06989	5_11443	Low	map01100	Metabolic pathways	nadX, ASPDH; aspartate dehydrogenase [EC:1.4.1.21]	2287	762
K02092	5_115065	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	298
K02092	5_115065	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	298
