KO	DUF	CS	Pathway	Description	KODescription	KOCount	DUFCount
K00939	PF01595	Low	map00230	Purine metabolism	adk, AK; adenylate kinase [EC:2.7.4.3]	25854	23842
K00939	PF01595	Low	map00730	Thiamine metabolism	adk, AK; adenylate kinase [EC:2.7.4.3]	25854	23842
K00939	PF01595	Low	map01100	Metabolic pathways	adk, AK; adenylate kinase [EC:2.7.4.3]	25854	23842
K00939	PF01595	Low	map01110	Biosynthesis of secondary metabolites	adk, AK; adenylate kinase [EC:2.7.4.3]	25854	23842
K00939	PF01595	Low	map01130	Biosynthesis of antibiotics	adk, AK; adenylate kinase [EC:2.7.4.3]	25854	23842
K02874	PF01595	Low	map03010	Ribosome	RP-L14, MRPL14, rplN; large subunit ribosomal protein L14	25636	23842
K02878	PF01595	Low	map03010	Ribosome	RP-L16, MRPL16, rplP; large subunit ribosomal protein L16	25445	23842
K02879	PF01595	Low	map03010	Ribosome	RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17	24550	23842
K02881	PF01595	Low	map03010	Ribosome	RP-L18, MRPL18, rplR; large subunit ribosomal protein L18	25672	23842
K02895	PF01595	Low	map03010	Ribosome	RP-L24, MRPL24, rplX; large subunit ribosomal protein L24	25628	23842
K02931	PF01595	Low	map03010	Ribosome	RP-L5, MRPL5, rplE; large subunit ribosomal protein L5	25579	23842
K02933	PF01595	Low	map03010	Ribosome	RP-L6, MRPL6, rplF; large subunit ribosomal protein L6	25763	23842
K02948	PF01595	Low	map03010	Ribosome	RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11	25375	23842
K02952	PF01595	Low	map03010	Ribosome	RP-S13, rpsM; small subunit ribosomal protein S13	25853	23842
K02961	PF01595	Low	map03010	Ribosome	RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17	25443	23842
K02965	PF01595	Low	map03010	Ribosome	RP-S19, rpsS; small subunit ribosomal protein S19	25448	23842
K02986	PF01595	Low	map03010	Ribosome	RP-S4, rpsD; small subunit ribosomal protein S4	25928	23842
K02994	PF01595	Low	map03010	Ribosome	RP-S8, rpsH; small subunit ribosomal protein S8	25788	23842
K03040	PF01595	Low	map03020	RNA polymerase	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	25925	23842
K03076	PF01595	Low	map02024	Quorum sensing	secY; preprotein translocase subunit SecY	25639	23842
K03076	PF01595	Low	map03060	Protein export	secY; preprotein translocase subunit SecY	25639	23842
K03076	PF01595	Low	map03070	Bacterial secretion system	secY; preprotein translocase subunit SecY	25639	23842
K06989	PF01958	Very high	map00760	Nicotinate and nicotinamide metabolism	nadX, ASPDH; aspartate dehydrogenase [EC:1.4.1.21]	2287	339
K06989	PF01958	Very high	map01100	Metabolic pathways	nadX, ASPDH; aspartate dehydrogenase [EC:1.4.1.21]	2287	339
K09123	PF01989	Very high	map00330	Arginine and proline metabolism	lhpI; cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]	1633	805
K19004	PF03072	Very high	map00561	Glycerolipid metabolism	K19004; processive 1,2-diacylglycerol beta-glycosyltransferase [EC:2.4.1.315 2.4.1.-]	4	8
K19004	PF03072	Very high	map01100	Metabolic pathways	K19004; processive 1,2-diacylglycerol beta-glycosyltransferase [EC:2.4.1.315 2.4.1.-]	4	8
K19004	PF03086	Very high	map00561	Glycerolipid metabolism	K19004; processive 1,2-diacylglycerol beta-glycosyltransferase [EC:2.4.1.315 2.4.1.-]	4	2268
K19004	PF03086	Very high	map01100	Metabolic pathways	K19004; processive 1,2-diacylglycerol beta-glycosyltransferase [EC:2.4.1.315 2.4.1.-]	4	2268
K00059	PF03235	Low	map00061	Fatty acid biosynthesis	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	26027	NA
K00059	PF03235	Low	map00333	Prodigiosin biosynthesis	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	26027	NA
K00059	PF03235	Low	map00780	Biotin metabolism	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	26027	NA
K00059	PF03235	Low	map01100	Metabolic pathways	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	26027	NA
K00059	PF03235	Low	map01130	Biosynthesis of antibiotics	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	26027	NA
