PFAM	DUF	CS	GO	Ontology	Description	PFAMDescription	PFAMCount	DUFCount
PF03471	PF01595	High	NA	NA	NA	Transporter associated domain	23542	23842
PF07584	PF01882	Low	NA	NA	NA	Aerotolerance regulator N-terminal	8267	16181
PF07726	PF01882	Very high	NA	NA	NA	ATPase family associated with various cellular activities (AAA)	17907	16181
PF13559	PF01882	High	NA	NA	NA	Domain of unknown function (DUF4129)	6880	16181
PF01909	PF01934	Very high	NA	NA	NA	Nucleotidyltransferase domain	17277	10451
PF03447	PF01958	Low	GO:0055114	BP	oxidation-reduction process	Homoserine dehydrogenase, NAD binding domain	21722	339
PF04412	PF01989	Very high	NA	NA	NA	Protein of unknown function (DUF521)	1724	805
PF04760	PF02576	Low	NA	NA	NA	Translation initiation factor IF-2, N-terminal region	24524	6
PF08529	PF02576	High	GO:0031554	BP	regulation of DNA-templated transcription, termination	NusA N-terminal domain	26089	6
PF13184	PF02576	High	NA	NA	NA	NusA-like KH domain	26152	6
PF00984	PF02656	Low	GO:0055114	BP	oxidation-reduction process	UDP-glucose/GDP-mannose dehydrogenase family, central domain	21830	10229
PF03721	PF02656	Low	GO:0055114	BP	oxidation-reduction process	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	21855	10229
PF00921	PF02890	Low	NA	NA	NA	Borrelia lipoprotein	24	NA
PF01441	PF02890	High	NA	NA	NA	Lipoprotein	32	NA
PF01672	PF02890	High	NA	NA	NA	Putative plasmid partition protein	32	NA
PF02989	PF02890	High	NA	NA	NA	Lyme disease proteins of unknown function	30	NA
PF02999	PF02890	High	NA	NA	NA	Borrelia orf-D family	30	NA
PF03434	PF02890	High	NA	NA	NA	DUF276	30	NA
PF05085	PF02890	High	NA	NA	NA	Protein of unknown function (DUF685)	30	NA
PF05113	PF02890	High	NA	NA	NA	Protein of unknown function (DUF693)	30	NA
PF05246	PF02890	High	NA	NA	NA	Protein of unknown function (DUF735)	30	NA
PF05561	PF02890	High	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF764)	30	NA
PF05606	PF02890	High	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF777)	30	NA
PF05619	PF02890	High	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF787)	30	NA
PF05632	PF02890	High	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF792)	30	NA
PF06238	PF02890	High	NA	NA	NA	NA	27	NA
PF07094	PF02890	High	NA	NA	NA	Protein of unknown function (DUF1357)	31	NA
PF07316	PF02890	High	NA	NA	NA	Protein of unknown function (DUF1463)	30	NA
PF07341	PF02890	High	NA	NA	NA	Protein of unknown function (DUF1473)	30	NA
PF07405	PF02890	High	NA	NA	NA	Protein of unknown function (DUF1506)	25	NA
PF13029	PF02890	High	NA	NA	NA	Domain of unknown function (DUF3890)	30	NA
PF00921	PF02989	Low	NA	NA	NA	Borrelia lipoprotein	24	1874
PF01441	PF02989	High	NA	NA	NA	Lipoprotein	32	1874
PF01672	PF02989	High	NA	NA	NA	Putative plasmid partition protein	32	1874
PF02890	PF02989	High	NA	NA	NA	Borrelia family of unknown function DUF226	30	1874
PF02999	PF02989	Very high	NA	NA	NA	Borrelia orf-D family	30	1874
PF03434	PF02989	Very high	NA	NA	NA	DUF276	30	1874
PF05085	PF02989	Very high	NA	NA	NA	Protein of unknown function (DUF685)	30	1874
PF05113	PF02989	Very high	NA	NA	NA	Protein of unknown function (DUF693)	30	1874
PF05246	PF02989	Very high	NA	NA	NA	Protein of unknown function (DUF735)	30	1874
PF05561	PF02989	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF764)	30	1874
