TIGRFAM	DUF	CS	GO	Ontology	Description	TIGRFAMDescription	PFAMCount	DUFCount
TIGR01451	PF01345	Very high	NA	NA	NA	conserved repeat domain	8671	5241
TIGR01017	PF01595	Low	GO:0006412	BP	translation	ribosomal protein uS4	26123	23842
TIGR02027	PF01595	Low	NA	NA	NA	DNA-directed RNA polymerase, alpha subunit	26191	23842
TIGR02226	PF01882	Low	NA	NA	NA	N-terminal double-transmembrane domain	5337	16181
TIGR00297	PF01940	Very high	NA	NA	NA	TIGR00297 family protein	1651	1899
TIGR03855	PF01958	Low	NA	NA	NA	aspartate dehydrogenase	304	339
TIGR00268	PF01969	Very high	NA	NA	NA	TIGR00268 family protein	4517	2318
TIGR00299	PF01969	Very high	NA	NA	NA	TIGR00299 family protein	4281	2318
TIGR01953	PF02576	Very high	GO:0006353	BP	DNA-templated transcription, termination	transcription termination factor NusA	26138	6
TIGR00251	PF02594	Very high	NA	NA	NA	TIGR00251 family protein	6181	128
TIGR01606	PF02989	High	NA	NA	NA	holin, BlyA family	20	1874
TIGR04419	PF02989	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	1874
TIGR00646	PF03072	Very high	NA	NA	NA	DNA primase-like protein	4	8
TIGR03835	PF03072	High	NA	NA	NA	terminal organelle assembly protein TopJ	9	8
TIGR03836	PF03072	Very high	NA	NA	NA	cytadherence high molecular weight protein 1 N-terminal region	4	8
TIGR03839	PF03072	High	NA	NA	NA	adhesin P1	9	8
TIGR00646	PF03086	Very high	NA	NA	NA	DNA primase-like protein	4	2268
TIGR03835	PF03086	High	NA	NA	NA	terminal organelle assembly protein TopJ	9	2268
TIGR03836	PF03086	Very high	NA	NA	NA	cytadherence high molecular weight protein 1 N-terminal region	4	2268
TIGR03839	PF03086	High	NA	NA	NA	adhesin P1	9	2268
TIGR01282	PF03270	High	GO:0009399	BP	nitrogen fixation	nitrogenase molybdenum-iron protein alpha chain	1652	1
TIGR01283	PF03270	High	GO:0009399	BP	nitrogen fixation	nitrogenase MoFe cofactor biosynthesis protein NifE	1683	1
TIGR01283	PF03270	High	GO:0051188	BP	cofactor biosynthetic process	nitrogenase MoFe cofactor biosynthesis protein NifE	1683	1
TIGR01285	PF03270	High	GO:0009399	BP	nitrogen fixation	nitrogenase molybdenum-iron cofactor biosynthesis protein NifN	1157	1
TIGR01285	PF03270	High	GO:0051188	BP	cofactor biosynthetic process	nitrogenase molybdenum-iron cofactor biosynthesis protein NifN	1157	1
TIGR01286	PF03270	High	GO:0009399	BP	nitrogen fixation	nitrogenase molybdenum-iron protein beta chain	1641	1
TIGR01287	PF03270	High	GO:0009399	BP	nitrogen fixation	nitrogenase iron protein	2358	1
TIGR01290	PF03270	High	GO:0009399	BP	nitrogen fixation	nitrogenase cofactor biosynthesis protein NifB	2018	1
TIGR01290	PF03270	High	GO:0051186	BP	cofactor metabolic process	nitrogenase cofactor biosynthesis protein NifB	2018	1
TIGR01817	PF03270	Low	NA	NA	NA	Nif-specific regulatory protein	1969	1
TIGR02660	PF03270	Low	GO:0051188	BP	cofactor biosynthetic process	homocitrate synthase	1495	1
TIGR02663	PF03270	High	GO:0009399	BP	nitrogen fixation	nitrogen fixation protein NifX	1213	1
TIGR02934	PF03270	High	NA	NA	NA	probable nitrogen fixation protein FixT	1036	1
TIGR02935	PF03270	Very high	NA	NA	NA	probable nitrogen fixation protein	967	1
TIGR02936	PF03270	High	NA	NA	NA	ferredoxin III, nif-specific	999	1
TIGR02167	PF03382	Very high	NA	NA	NA	bacterial surface protein 26-residue repeat	3073	35
TIGR01606	PF03434	High	NA	NA	NA	holin, BlyA family	20	2
TIGR04419	PF03434	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	2
TIGR00022	PF04074	Very high	NA	NA	NA	YhcH/YjgK/YiaL family protein	4130	NA
TIGR00271	PF04087	Very high	NA	NA	NA	uncharacterized hydrophobic domain	4800	6
TIGR00341	PF04087	High	NA	NA	NA	TIGR00341 family protein	461	6
TIGR00529	PF04165	High	NA	NA	NA	integral membrane protein, TIGR00529 family	584	221
TIGR00743	PF04175	High	NA	NA	NA	conserved hypothetical protein	820	30
TIGR04365	PF04175	High	NA	NA	NA	autonomous glycyl radical cofactor GrcA	1130	30
TIGR00311	PF04242	High	NA	NA	NA	putative translation initiation factor aIF-2, beta subunit	1	9895
TIGR01440	PF04260	Very high	NA	NA	NA	TIGR01440 family protein	2897	6
TIGR01244	PF04273	Very high	NA	NA	NA	TIGR01244 family protein	4113	1510
TIGR01218	PF04276	High	NA	NA	NA	tandem five-TM protein	140	1534
TIGR02877	PF04285	Low	GO:0030436	BP	asexual sporulation	sporulation protein YhbH	1697	6127
TIGR00144	PF04289	High	NA	NA	NA	beta-ribofuranosylaminobenzene 5'-phosphate synthase family	755	9558
TIGR00284	PF04289	High	NA	NA	NA	dihydropteroate synthase-related protein	666	9558
TIGR00734	PF04289	High	NA	NA	NA	hisA/hisF family protein	426	9558
TIGR03119	PF04289	High	NA	NA	NA	formylmethanofuran--tetrahydromethanopterin N-formyltransferase	705	9558
TIGR03120	PF04289	High	NA	NA	NA	methenyltetrahydromethanopterin cyclohydrolase	744	9558
TIGR03121	PF04289	High	NA	NA	NA	formylmethanofuran dehydrogenase subunit A	776	9558
TIGR03122	PF04289	High	NA	NA	NA	formylmethanofuran dehydrogenase subunit C	668	9558
TIGR03123	PF04289	High	NA	NA	NA	probable H4MPT-linked C1 transfer pathway protein	675	9558
TIGR03129	PF04289	High	NA	NA	NA	formylmethanofuran dehydrogenase subunit B	509	9558
TIGR01620	PF04317	High	NA	NA	NA	TIGR01620 family protein	3098	4533
TIGR03279	PF04459	Very high	NA	NA	NA	putative radical SAM enzyme, TIGR03279 family	2893	7725
TIGR03052	PF04483	Low	GO:0019684	BP	photosynthesis, light reaction	photosystem I reaction center subunit VIII	305	3
TIGR03060	PF04483	Low	GO:0010207	BP	photosystem II assembly	photosystem II biogenesis protein Psp29	398	3
TIGR01742	PF04507	High	NA	NA	NA	Staphylococcus tandem lipoproteins	37	1724
TIGR01741	PF04634	High	NA	NA	NA	conserved hypothetical protein	314	2961
TIGR04362	PF04862	Low	NA	NA	NA	choice-of-anchor C domain	213	1887
TIGR04363	PF04978	Low	NA	NA	NA	FxLD family lantipeptide	367	1
TIGR04516	PF04978	Low	NA	NA	NA	glycosyltransferase, activator-dependent family	319	1
TIGR01606	PF05085	High	NA	NA	NA	holin, BlyA family	20	NA
TIGR04419	PF05085	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	NA
TIGR01606	PF05113	High	NA	NA	NA	holin, BlyA family	20	20
TIGR04419	PF05113	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	20
TIGR01620	PF05128	Low	NA	NA	NA	TIGR01620 family protein	3098	2435
TIGR01606	PF05246	High	NA	NA	NA	holin, BlyA family	20	NA
TIGR04419	PF05246	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	NA
TIGR00929	PF05284	High	NA	NA	NA	type IV secretion/conjugal transfer ATPase, VirB4 family	3153	5
TIGR02771	PF05284	High	GO:0000746	BP	conjugation	conjugative transfer signal peptidase TraF	1688	5
TIGR02775	PF05284	High	GO:0009291	BP	unidirectional conjugation	P-type conjugative transfer protein TrbG	1769	5
TIGR02780	PF05284	High	GO:0009291	BP	unidirectional conjugation	P-type conjugative transfer protein TrbJ	2029	5
TIGR02782	PF05284	High	NA	NA	NA	P-type conjugative transfer ATPase TrbB	1678	5
TIGR02783	PF05284	High	GO:0009291	BP	unidirectional conjugation	P-type conjugative transfer protein TrbL	1868	5
TIGR04360	PF05284	High	GO:0009292	BP	genetic transfer	conjugative transfer region protein TrbK	556	5
TIGR03077	PF05302	Very high	NA	NA	NA	glycine cleavage protein H-like protein	24	23
TIGR03396	PF05506	Very high	NA	NA	NA	phospholipase C, phosphocholine-specific	2429	NA
TIGR01153	PF05542	High	NA	NA	NA	photosystem II 44 kDa subunit reaction center protein	371	71
TIGR02056	PF05542	High	NA	NA	NA	chlorophyll synthase ChlG	392	71
TIGR03044	PF05542	Low	NA	NA	NA	photosystem II protein Psb27	396	71
TIGR01606	PF05561	High	NA	NA	NA	holin, BlyA family	20	27
TIGR04419	PF05561	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	27
TIGR00181	PF05595	Low	GO:0006508	BP	proteolysis	oligoendopeptidase F	5032	1155
TIGR00488	PF05595	Low	NA	NA	NA	putative HD superfamily hydrolase	5476	1155
TIGR01407	PF05595	Low	NA	NA	NA	putative DnaQ family exonuclease/DinG family helicase	3737	1155
TIGR01457	PF05595	Low	NA	NA	NA	HAD hydrolase, TIGR01457 family	6026	1155
TIGR04520	PF05595	Low	GO:0006810	BP	transport	energy-coupling factor transporter ATPase	7224	1155
TIGR01606	PF05606	High	NA	NA	NA	holin, BlyA family	20	4477
TIGR04419	PF05606	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	4477
TIGR01606	PF05619	High	NA	NA	NA	holin, BlyA family	20	30
TIGR04419	PF05619	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	30
TIGR01606	PF05632	High	NA	NA	NA	holin, BlyA family	20	10
TIGR04419	PF05632	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	10
TIGR01492	PF06012	High	NA	NA	NA	Plasmodium falciparum CPW-WPC domain	2	NA
TIGR01492	PF06025	High	NA	NA	NA	Plasmodium falciparum CPW-WPC domain	2	2
TIGR03299	PF06067	Very high	NA	NA	NA	phage/plasmid-like protein TIGR03299	1351	131
TIGR01635	PF06074	High	GO:0016032	BP	viral process	phage virion morphogenesis protein	1832	6568
TIGR01641	PF06074	Low	GO:0016032	BP	viral process	phage head morphogenesis protein, SPP1 gp7 family	2949	6568
TIGR01641	PF06074	Low	GO:0019068	BP	virion assembly	phage head morphogenesis protein, SPP1 gp7 family	2949	6568
TIGR03034	PF06092	High	GO:0008150	BP	biological_process	conserved hypothetical protein	202	7334
TIGR01637	PF06107	Low	NA	NA	NA	phage transcriptional regulator, ArpU family	994	NA
TIGR00504	PF06149	Low	GO:0030163	BP	protein catabolic process	pyroglutamyl-peptidase I	4245	6
TIGR00504	PF06166	Low	GO:0030163	BP	protein catabolic process	pyroglutamyl-peptidase I	4245	NA
TIGR02119	PF06196	High	GO:0015887	BP	pantothenate transmembrane transport	sodium/pantothenate symporter	1866	2
TIGR02119	PF06196	High	GO:0015937	BP	coenzyme A biosynthetic process	sodium/pantothenate symporter	1866	2
TIGR01635	PF06252	High	GO:0016032	BP	viral process	phage virion morphogenesis protein	1832	6877
TIGR02498	PF06287	Very high	NA	NA	NA	type III secretion system protein, SsaH family	135	1415
TIGR04365	PF06288	High	NA	NA	NA	autonomous glycyl radical cofactor GrcA	1130	141
TIGR02318	PF06299	Low	GO:0019634	BP	organic phosphonate metabolic process	phosphonate metabolism protein PhnM	3119	1
TIGR02322	PF06299	Low	GO:0019634	BP	organic phosphonate metabolic process	phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN	2820	1
TIGR03223	PF06299	High	NA	NA	NA	putative phosphonate metabolism protein	1377	1
TIGR01555	PF06381	Very high	NA	NA	NA	phage-associated protein, HI1409 family	708	66
TIGR00272	PF06417	High	GO:0017183	BP	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	diphthamide biosynthesis protein 2	2	564
TIGR00600	PF06417	Very high	NA	NA	NA	DNA excision repair protein (rad2)	1	564
TIGR00955	PF06417	High	NA	NA	NA	pigment precursor permease	2	564
TIGR01989	PF06417	Very high	NA	NA	NA	ubiquinone biosynthesis monooxygenase COQ6	1	564
TIGR01655	PF06486	High	NA	NA	NA	conserved hypothetical protein	987	2908
TIGR00746	PF06545	Low	GO:0006520	BP	cellular amino acid metabolic process	carbamate kinase	6101	423
TIGR02894	PF06569	Low	NA	NA	NA	transcription factor, RsfA family	1189	2528
TIGR03077	PF06587	Very high	NA	NA	NA	glycine cleavage protein H-like protein	24	2537
TIGR02327	PF06612	High	NA	NA	NA	conserved hypothetical integral membrane protein	2106	701
TIGR04516	PF06722	Low	NA	NA	NA	glycosyltransferase, activator-dependent family	319	NA
TIGR00403	PF06799	High	GO:0019684	BP	photosynthesis, light reaction	NADH-plastoquinone oxidoreductase, I subunit	401	NA
TIGR01153	PF06799	Low	NA	NA	NA	photosystem II 44 kDa subunit reaction center protein	371	NA
TIGR01332	PF06799	High	NA	NA	NA	cytochrome b559, alpha subunit	392	NA
TIGR01333	PF06799	High	NA	NA	NA	cytochrome b559, beta subunit	361	NA
TIGR01335	PF06799	Low	NA	NA	NA	photosystem I core protein PsaA	379	NA
TIGR01337	PF06799	High	GO:0015979	BP	photosynthesis	allophycocyanin, beta subunit	334	NA
TIGR02028	PF06799	High	GO:0015995	BP	chlorophyll biosynthetic process	geranylgeranyl reductase	400	NA
TIGR02056	PF06799	High	NA	NA	NA	chlorophyll synthase ChlG	392	NA
TIGR02387	PF06799	Low	NA	NA	NA	DNA-directed RNA polymerase, gamma subunit	383	NA
TIGR02654	PF06799	Low	GO:0007623	BP	circadian rhythm	circadian clock protein KaiB	392	NA
TIGR02732	PF06799	Low	NA	NA	NA	9,9'-di-cis-zeta-carotene desaturase	376	NA
TIGR02749	PF06799	High	GO:0010236	BP	plastoquinone biosynthetic process	solanesyl diphosphate synthase	396	NA
TIGR03044	PF06799	High	NA	NA	NA	photosystem II protein Psb27	396	NA
TIGR03047	PF06799	High	NA	NA	NA	photosystem II reaction center protein Psb28	402	NA
TIGR03048	PF06799	High	GO:0009773	BP	photosynthetic electron transport in photosystem I	photosystem I iron-sulfur protein PsaC	390	NA
TIGR03060	PF06799	High	GO:0010207	BP	photosystem II assembly	photosystem II biogenesis protein Psp29	398	NA
TIGR04058	PF06799	Low	GO:0043447	BP	alkane biosynthetic process	long-chain fatty acyl-ACP reductase (aldehyde-forming)	350	NA
TIGR04059	PF06799	Low	GO:0043447	BP	alkane biosynthetic process	long-chain fatty aldehyde decarbonylase	355	NA
TIGR02841	PF06866	Very high	NA	NA	NA	putative sporulation protein YyaC	2195	NA
TIGR01105	PF06932	Low	GO:0009225	BP	nucleotide-sugar metabolic process	regulatory protein GalF	482	NA
TIGR03392	PF06932	High	GO:0016226	BP	iron-sulfur cluster assembly	cysteine desulfurase, catalytic subunit CsdA	642	NA
TIGR03823	PF06932	High	NA	NA	NA	flagellar regulatory protein FliZ	557	NA
TIGR02946	PF06974	High	NA	NA	NA	acyltransferase, WS/DGAT/MGAT	2968	NA
TIGR01635	PF07030	High	GO:0016032	BP	viral process	phage virion morphogenesis protein	1832	90
TIGR00401	PF07080	Low	GO:0006979	BP	response to oxidative stress	peptide-methionine (S)-S-oxide reductase	19645	3
TIGR00401	PF07080	Low	GO:0030091	BP	protein repair	peptide-methionine (S)-S-oxide reductase	19645	3
TIGR01153	PF07082	High	NA	NA	NA	photosystem II 44 kDa subunit reaction center protein	371	1294
TIGR01332	PF07082	High	NA	NA	NA	cytochrome b559, alpha subunit	392	1294
TIGR01333	PF07082	High	NA	NA	NA	cytochrome b559, beta subunit	361	1294
TIGR02028	PF07082	Low	GO:0015995	BP	chlorophyll biosynthetic process	geranylgeranyl reductase	400	1294
TIGR02056	PF07082	High	NA	NA	NA	chlorophyll synthase ChlG	392	1294
TIGR02654	PF07082	Low	GO:0007623	BP	circadian rhythm	circadian clock protein KaiB	392	1294
TIGR02749	PF07082	High	GO:0010236	BP	plastoquinone biosynthetic process	solanesyl diphosphate synthase	396	1294
TIGR03038	PF07082	Low	NA	NA	NA	photosystem II reaction center protein PsbM	343	1294
TIGR03060	PF07082	High	GO:0010207	BP	photosystem II assembly	photosystem II biogenesis protein Psp29	398	1294
TIGR04058	PF07082	Low	GO:0043447	BP	alkane biosynthetic process	long-chain fatty acyl-ACP reductase (aldehyde-forming)	350	1294
TIGR02451	PF07103	Low	NA	NA	NA	anti-sigma factor, putative, ChrR family	2659	1528
TIGR01797	PF07208	High	GO:0009095	BP	aromatic amino acid family biosynthetic process, prephenate pathway	chorismate mutase	1439	2
TIGR02998	PF07208	High	GO:0051252	BP	regulation of RNA metabolic process	regulator of ribonuclease activity A	1458	2
TIGR02722	PF07233	Low	NA	NA	NA	uncharacterized lipoprotein	2754	NA
TIGR03510	PF07235	Very high	GO:0008150	BP	biological_process	XapX domain	2197	1077
TIGR03608	PF07242	Low	GO:0006810	BP	transport	putative bacteriocin export ABC transporter, lactococcin 972 group	3303	1
TIGR03823	PF07256	Low	NA	NA	NA	flagellar regulatory protein FliZ	557	4042
TIGR01539	PF07278	Low	GO:0019068	BP	virion assembly	phage portal protein, lambda family	2115	NA
TIGR00724	PF07286	Low	NA	NA	NA	biotin-dependent carboxylase uncharacterized domain	10079	3347
TIGR01906	PF07314	High	NA	NA	NA	integral membrane protein TIGR01906	2485	14
TIGR01606	PF07316	High	NA	NA	NA	holin, BlyA family	20	8385
TIGR04419	PF07316	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	8385
TIGR01606	PF07341	High	NA	NA	NA	holin, BlyA family	20	1429
TIGR04419	PF07341	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	1429
TIGR04419	PF07405	High	NA	NA	NA	HemN-related non-iron pseudo-SAM protein PsgB	34	1489
TIGR04471	PF07505	Low	NA	NA	NA	radical SAM mobile pair protein A	234	4047
TIGR04474	PF07505	Very high	NA	NA	NA	three-Cys-motif partner protein	1483	4047
TIGR01690	PF07511	Very high	NA	NA	NA	integrative conjugative element protein, RAQPRD family	692	6612
TIGR02794	PF07511	Low	GO:0006810	BP	transport	protein TolA	6371	6612
TIGR02794	PF07511	Low	GO:0009405	BP	pathogenesis	protein TolA	6371	6612
